vendor_name,vendor_category,vendor_state,vendor_area,vendor_city,property_type,venue_start_year,vendor_address,vendor_contact_info,vendor_google_map,no_of_rooms,per_room_price,starting_decor_price,veg_price_per_plate,nonveg_price_per_plate,destination_price,destination_details,small_party_venue,space_available,parking_policy,catering_policy,decor_policy,dj_policy,alcohol_policy,event_space_name_1,event_space_type_1,seating_guests_1,floating_guests_1,event_space_name_2,event_space_type_2,seating_guests_2,floating_guests_2,event_space_name_3,event_space_type_3,seating_guests_3,floating_guests_3,event_space_name_4,event_space_type_4,seating_guests_4,floating_guests_4,event_space_name_5,event_space_type_5,seating_guests_5,floating_guests_5,event_space_name_6,event_space_type_6,seating_guests_6,floating_guests_6,event_space_name_7,event_space_type_7,seating_guests_7,floating_guests_7,event_space_name_8,event_space_type_8,seating_guests_8,floating_guests_8
Mahesh Gehlot Garden & Resort & Hotel,Wedding Venues,83,Jodhpur,2037,Resort,,National Law University New Nagour Rd Jodhpur,9314577000,"https://www.google.com/maps?q=26.36823949999999,73.0690169",35 Rooms,"2,500",,550,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,"Indoor, Outdoor space",,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ not permitted","In house alcohol not available, Outside alcohol not permitted",Hall,Indoor Area,150,250,Lawn,Outdoor Area,350,550,,,,,,,,,,,,,,,,,,,,,,,,
Sumangal Marriage Garden,Wedding Venues,83,Basni,2037,Wedding Lawn,,"Sumangal Marriage Garden, Madhuban Housing Board, Madhuban, Jodhpur, Rajasthan, India",9950187934,"https://www.google.com/maps?q=26.2294618,73.0250513",,,,400,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol available, Outside alcohol  permitted",Lawn,Outdoor Area,700,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Basant,Wedding Venues,83,Air Force Area,2037,Lawn & Banquet Hall,,Air Force Area Jodhpur Jodhpur,9351505399,"https://www.google.com/maps?q=26.2666437,73.0389983",,,,500,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,"Indoor, Outdoor space",,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ not permitted","In house alcohol not available, Outside alcohol not permitted",Hall,Indoor Area,300,400,Lawn,Outdoor Area,1000,1500,,,,,,,,,,,,,,,,,,,,,,,,
Singhatiya Garden,Wedding Venues,83,Kudi Bhagtasni Housing Board,2037,Wedding Lawn,,"Adarsh Nagar, Jodhpur, Rajasthan, India",9829548036,"https://www.google.com/maps?q=26.2175336,73.0375761",,,,400,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",lawn,Outdoor Area,600,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shergarh Rawla,Wedding Venues,83,Bhadu Market,2037,Lawn & Banquet Hall,,"Shergarh Rawla, Bhadu Market, Jodhpur, Rajasthan, India",9414050456,"https://www.google.com/maps?q=26.2349512,72.9554685",19 Rooms,,,250000,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,"Indoor, Outdoor space",There is sufficient parking available,Outside caterering only,Outside decorators permitted,"In house DJ not available , Outside DJ permitted","In house alcohol not available, Outside alcohol  permitted",Hall,Indoor Area,150,200,Lawn 1,Outdoor Area,2000,2500,Lawn 2,Outdoor Area,4000,5000,,,,,,,,,,,,,,,,,,,,
Hotel Siddharth Kailash,Wedding Venues,83,Kabir Nagar,2037,Banquet Hall & Lawn,,"OYO 11975 Siddharth International, Jaisalmer Road, Soorsagar, Jodhpur, Rajasthan, India",2912756755,"https://www.google.com/maps?q=26.29317,72.99054",28 Rooms,"3,000",,500,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,"Indoor, Outdoor space",,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Lawn,Outdoor Area,300,500,Hall,Indoor Area,200,300,,,,,,,,,,,,,,,,,,,,,,,,
Impian Resort,Wedding Venues,83,Jodhpur,2037,,,"IMPIAN RESORT, Meghwalo Ki Bass, New Colony, Manaklao, Rajasthan, India",6350048402,"https://www.google.com/maps?q=26.4512873,73.0202918",14 Rooms,,,Price on Request,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,Outdoor space,There is sufficient parking available,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol  permitted",Lawn,Indoor Area,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shri Banshi Lal Marriage Garden,Wedding Venues,83,Mandore,2037,Wedding Lawn,,"Mandore, Jodhpur, Rajasthan, India",9829024454,"https://www.google.com/maps?q=26.3427037,73.0443233",,,,400,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Lawn ,Outdoor Area,2000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garh Ganesh Resort & Marriage Garden,Wedding Venues,83,Bhadu Market,2037,Wedding Lawn,,"Main, Pal Rd, near Reliance Petrol Pump, Phase I, Pal, Jodhpur, Rajasthan 342008",8048124652,"https://www.google.com/maps?q=26.2385461,72.9703656",,,,Price on Request,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,Parking is available near the venue,Inhouse catering only,Inhouse decor,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol  permitted",Lawn ,Outdoor Area,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J D Park,Wedding Venues,83,Kabir Nagar,2037,Wedding Lawn,,"J D PARK, Soorsagar Bypass Road, Kabir Nagar, Jodhpur, Rajasthan, India",9413254470,"https://www.google.com/maps?q=26.3071584,72.99566740000002",,,,400,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol available, Outside alcohol  permitted",Lawn,Outdoor Area,1000,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
